episode,reward,total_burned,epsilon,steps,q_table_size
331,-436.0,486,0.1903,23,1021
332,-405.0,451,0.1893,23,1021
333,1.0,9,0.1884,5,1021
334,-370.0,426,0.1875,29,1024
335,-327.0,377,0.1865,22,1025
336,-354.0,422,0.1856,34,1031
337,-323.0,381,0.1847,24,1033
338,-298.0,362,0.1837,23,1034
339,-460.0,514,0.1828,25,1035
340,-350.0,412,0.1819,27,1036
341,-274.0,336,0.181,27,1040
342,-391.0,447,0.1801,28,1042
343,-68.0,104,0.1792,14,1042
344,3.0,1,0.1783,2,1042
345,-412.0,460,0.1774,22,1042
346,-73.0,95,0.1765,16,1043
347,-317.0,357,0.1756,20,1045
348,-418.0,478,0.1748,27,1045
349,2.0,2,0.1739,3,1045
350,-376.0,428,0.173,19,1045
351,-353.0,409,0.1721,26,1046
352,-316.0,368,0.1713,23,1046
353,-393.0,449,0.1704,42,1054
354,-483.0,545,0.1696,29,1054
355,-127.0,159,0.1687,17,1055
356,-423.0,479,0.1679,29,1055
357,-404.0,460,0.167,30,1056
358,-351.0,413,0.1662,33,1058
359,-211.0,247,0.1654,20,1060
360,-409.0,463,0.1646,26,1060
361,2.0,2,0.1637,2,1060
362,3.0,13,0.1629,5,1060
363,-400.0,452,0.1621,20,1060
364,-192.0,234,0.1613,21,1064
365,-354.0,414,0.1605,27,1064
366,-403.0,473,0.1597,29,1066
367,-294.0,358,0.1589,32,1071
368,-370.0,416,0.1581,22,1071
369,-377.0,445,0.1573,25,1071
370,-140.0,180,0.1565,19,1073
371,-419.0,465,0.1557,24,1075
372,-437.0,489,0.1549,27,1076
373,-154.0,194,0.1542,24,1079
374,-365.0,411,0.1534,19,1080
375,3.0,1,0.1526,2,1080
376,3.0,3,0.1519,3,1080
377,3.0,3,0.1511,3,1080
378,-408.0,474,0.1504,25,1082
379,-402.0,454,0.1496,23,1082
380,1.0,5,0.1489,3,1082
381,3.0,7,0.1481,5,1082
382,-28.0,54,0.1474,13,1082
383,-304.0,372,0.1466,22,1083
384,-348.0,416,0.1459,37,1084
385,-383.0,441,0.1452,26,1084
386,-451.0,513,0.1444,26,1087
387,-167.0,207,0.1437,18,1087
388,-398.0,464,0.143,27,1087
